16
0 (1.0, 1.0)	| 1, 1.00 | 5, 1.00 
1 (1.0, 2.0)	| 0, 1.00 | 2, 1.00 
2 (1.0, 3.0)	| 1, 1.00 | 3, 1.00 | 6, 1.00 
3 (1.0, 4.0)	| 2, 1.00 | 4, 1.00 
4 (1.0, 5.0)	| 3, 1.00 | 7, 1.00 
5 (2.0, 1.0)	| 0, 1.00 | 8, 1.00 
6 (2.0, 3.0)	| 2, 1.00 | 9, 1.00 
7 (2.0, 5.0)	| 4, 1.00 | 10, 1.00 
8 (3.0, 1.0)	| 5, 1.00 | 11, 1.00 
9 (3.0, 3.0)	| 6, 1.00 | 13, 1.00 
10 (3.0, 5.0)	| 7, 1.00 | 15, 1.00 
11 (4.0, 1.0)	| 8, 1.00 | 12, 1.00 
12 (4.0, 2.0)	| 11, 1.00 | 13, 1.00 
13 (4.0, 3.0)	| 12, 1.00 | 9, 1.00 | 14, 1.00 
14 (4.0, 4.0)	| 13, 1.00 | 15, 1.00 
15 (4.0, 5.0)	| 14, 1.00 | 10, 1.00 
